data;estados;consumo;y_pred
2009-11-01;AP;13739,0;
2009-12-01;AP;12503,0;
2010-01-01;AP;13688,0;
2010-02-01;AP;8696,0;
2010-03-01;AP;11639,0;
2010-04-01;AP;8572,0;
2010-05-01;AP;8742,0;
2010-06-01;AP;14176,0;
2010-07-01;AP;15360,0;
2010-08-01;AP;14198,0;
2010-09-01;AP;16247,0;
2010-10-01;AP;12404,0;
2010-11-01;AP;12009,0;
2010-12-01;AP;15811,0;
2011-01-01;AP;15404,0;
2011-02-01;AP;11193,0;
2011-03-01;AP;9357,0;
2011-04-01;AP;11456,0;
2011-05-01;AP;15365,0;
2011-06-01;AP;12067,0;
2011-07-01;AP;12195,0;
2011-08-01;AP;13571,0;
2011-09-01;AP;13957,0;
2011-10-01;AP;13166,0;
2011-11-01;AP;15633,0;
2011-12-01;AP;18606,0;
2012-01-01;AP;16481,0;
2012-02-01;AP;16803,0;
2012-03-01;AP;14899,0;
2012-04-01;AP;18744,0;
2012-05-01;AP;17009,0;
2012-06-01;AP;17839,0;
2012-07-01;AP;29446,0;
2012-08-01;AP;24859,0;
2012-09-01;AP;28779,0;
2012-10-01;AP;29925,0;
2012-11-01;AP;22249,0;
2012-12-01;AP;24087,0;
2013-01-01;AP;19544,0;
2013-02-01;AP;22741,0;
2013-03-01;AP;25145,0;
2013-04-01;AP;22572,0;
2013-05-01;AP;21952,0;
2013-06-01;AP;20633,0;
2013-07-01;AP;18092,0;
2013-08-01;AP;19537,0;
2013-09-01;AP;14595,0;
2013-10-01;AP;15461,0;
2013-11-01;AP;22239,0;
2013-12-01;AP;28008,0;
2014-01-01;AP;20083,0;
2014-02-01;AP;18254,0;
2014-03-01;AP;14837,0;
2014-04-01;AP;18106,0;
2014-05-01;AP;25047,0;
2014-06-01;AP;15795,0;
2014-07-01;AP;19112,0;
2014-08-01;AP;28237,0;
2014-09-01;AP;29245,0;
2014-10-01;AP;27453,0;
2014-11-01;AP;27780,0;
2014-12-01;AP;30408,0;
2015-01-01;AP;15525,0;
2015-02-01;AP;16920,0;
2015-03-01;AP;16351,0;
2015-04-01;AP;16119,0;
2015-05-01;AP;13855,0;
2015-06-01;AP;13142,0;
2015-07-01;AP;20199,0;
2015-08-01;AP;22372,0;
2015-09-01;AP;22501,0;
2015-10-01;AP;19856,0;
2015-11-01;AP;21145,0;
2015-12-01;AP;15802,0;
2016-01-01;AP;15917,0;
2016-02-01;AP;13267,0;
2016-03-01;AP;10085,0;
2016-04-01;AP;11503,0;
2016-05-01;AP;13391,0;
2016-06-01;AP;12194,0;
2016-07-01;AP;13915,0;
2016-08-01;AP;12302,0;
2016-09-01;AP;18278,0;
2016-10-01;AP;17107,0;
2016-11-01;AP;20196,0;
2016-12-01;AP;17739,0;
2017-01-01;AP;12495,0;
2017-02-01;AP;8322,0;
2017-03-01;AP;11373,0;
2017-04-01;AP;9651,0;
2017-05-01;AP;10855,0;
2017-06-01;AP;13970,0;
2017-07-01;AP;12399,0;12416,758888848366
2017-08-01;AP;11268,0;21608,45562916465
2017-09-01;AP;8741,0;11114,543244246313
2017-10-01;AP;12358,0;13227,109049994215
2017-11-01;AP;11876,0;11668,527207228275
2017-12-01;AP;11713,0;8273,480861597265
2018-01-01;AP;11449,0;14832,332138586447
2018-02-01;AP;7805,0;10080,147677260022
2018-03-01;AP;7726,0;8799,605539181219
2018-04-01;AP;8516,0;11179,771187340208
2018-05-01;AP;8503,0;10316,402836349975
2018-06-01;AP;10175,0;8963,595170533175
2018-07-01;AP;11775,0;8045,301952376009
2018-08-01;AP;9724,0;17663,559543691816
2018-09-01;AP;10069,0;7006,937683021948
2018-10-01;AP;13930,0;9418,725296183235
2018-11-01;AP;11918,0;7323,776829578426
2018-12-01;AP;11757,0;6106,501632606734
2019-01-01;AP;9691,0;15309,657714200708
2019-02-01;AP;7378,0;13082,388229405136
2019-03-01;AP;6970,0;11734,283531164001
2019-04-01;AP;7612,0;13348,291462070898
2019-05-01;AP;8442,0;11296,12563760658
2019-06-01;AP;8835,0;10298,47588647047
2019-07-01;AP;11251,0;11585,999887103659
2019-08-01;AP;11342,0;22769,85935938423
2019-09-01;AP;13110,0;10724,585831260309
2019-10-01;AP;13195,0;15241,131879602653
2019-11-01;AP;10053,0;13007,405729315833
